,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,daily,daily_lower,daily_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
31300,2024-03-29 00:00:00,432.2620244392197,675.0925873066979,732.8569431155557,432.2620244392197,432.2620244392197,0.0004292147000012058,0.0004292147000012058,0.0004292147000012058,0.6287593037156167,0.6287593037156167,0.6287593037156167,-0.0007447328464642966,-0.0007447328464642966,-0.0007447328464642966,0.6290748218620799,0.6290748218620799,0.6290748218620799,0.0,0.0,0.0,704.0507939483264
31301,2024-03-29 01:00:00,432.26863080761035,674.4216513152929,733.1829290591894,432.26863080761035,432.26863080761035,0.00026832502198490264,0.00026832502198490264,0.00026832502198490264,0.6283791989365773,0.6283791989365773,0.6283791989365773,-0.0009739496837146499,-0.0009739496837146499,-0.0009739496837146499,0.6290848235983072,0.6290848235983072,0.6290848235983072,0.0,0.0,0.0,703.8972467599076
31302,2024-03-29 02:00:00,432.2752371760008,676.7900824315797,732.4036663371713,432.2752371760008,432.2752371760008,-8.461641469346353e-05,-8.461641469346353e-05,-8.461641469346353e-05,0.627821512426942,0.627821512426942,0.627821512426942,-0.0011868114030123235,-0.0011868114030123235,-0.0011868114030123235,0.6290929402446478,0.6290929402446478,0.6290929402446478,0.0,0.0,0.0,703.6669303645527
31303,2024-03-29 03:00:00,432.2818435443913,675.4266121433171,730.6022656559842,432.2818435443913,432.2818435443913,-0.00042512592360266857,-0.00042512592360266857,-0.00042512592360266857,0.6272922670376568,0.6272922670376568,0.6272922670376568,-0.001381779346462308,-0.001381779346462308,-0.001381779346462308,0.6290991723077217,0.6290991723077217,0.6290991723077217,0.0,0.0,0.0,703.4489011805701
31304,2024-03-29 04:00:00,432.28844991278174,678.0519834984575,732.6183520617075,432.28844991278174,432.28844991278174,-0.0005348889183552639,-0.0005348889183552639,-0.0005348889183552639,0.6270110849230358,0.6270110849230358,0.6270110849230358,-0.0015575464922279307,-0.0015575464922279307,-0.0015575464922279307,0.6291035203336189,0.6291035203336189,0.6291035203336189,0.0,0.0,0.0,703.3380998922923
31305,2024-03-29 05:00:00,432.2950562811723,676.032907401825,731.6292591650661,432.2950562811723,432.2950562811723,-0.0003615611561495494,-0.0003615611561495494,-0.0003615611561495494,0.6270313727920667,0.6270313727920667,0.6270313727920667,-0.0017130509596014754,-0.0017130509596014754,-0.0017130509596014754,0.6291059849078178,0.6291059849078178,0.6291059849078178,0.0,0.0,0.0,703.3576188723795
31306,2024-03-29 06:00:00,432.3016626495628,674.0651593680417,730.5199617201431,432.3016626495628,432.3016626495628,-6.220900000433116e-05,-6.220900000433116e-05,-6.220900000433116e-05,0.6271968712353468,0.6271968712353468,0.6271968712353468,-0.0018474864198206504,-0.0018474864198206504,-0.0018474864198206504,0.6291065666551718,0.6291065666551718,0.6291065666551718,0.0,0.0,0.0,703.439912893207
31307,2024-03-29 07:00:00,432.30826901795325,676.1246334337022,732.5077341972027,432.30826901795325,432.30826901795325,0.0001323806742655216,0.0001323806742655216,0.0001323806742655216,0.6272773376209435,0.6272773376209435,0.6272773376209435,-0.0019603092931402173,-0.0019603092931402173,-0.0019603092931402173,0.6291052662398182,0.6291052662398182,0.6291052662398182,0.0,0.0,0.0,703.4854490390536
31308,2024-03-29 08:00:00,432.3148753863437,677.6710602831762,730.7716398372921,432.3148753863437,432.3148753863437,0.00011091654495742163,0.00011091654495742163,0.00011091654495742163,0.6271617582565218,0.6271617582565218,0.6271617582565218,-0.0020512426535799926,-0.0020512426535799926,-0.0020512426535799926,0.6291020843651444,0.6291020843651444,0.6291020843651444,0.0,0.0,0.0,703.4462327540921
31309,2024-03-29 09:00:00,432.32148175473435,674.9175697592509,730.2370518932797,432.32148175473435,432.32148175473435,-4.058927892529061e-05,-4.058927892529061e-05,-4.058927892529061e-05,0.6269361556912468,0.6269361556912468,0.6269361556912468,-0.002120276803532051,-0.002120276803532051,-0.002120276803532051,0.6290970217737042,0.6290970217737042,0.6290970217737042,0.0,0.0,0.0,703.359449548791
