Time,Close
2024-03-29 00:00:00,694.0514
2024-03-29 01:00:00,692.9816
2024-03-29 02:00:00,692.8441
2024-03-29 03:00:00,690.9234
2024-03-29 04:00:00,691.30585
2024-03-29 05:00:00,692.844
2024-03-29 06:00:00,691.2887
2024-03-29 07:00:00,690.9421
2024-03-29 08:00:00,691.93274
2024-03-29 09:00:00,691.14606
2024-03-29 10:00:00,692.0544
2024-03-29 11:00:00,691.2333
2024-03-29 12:00:00,692.1252
2024-03-29 13:00:00,694.03015
2024-03-29 14:00:00,693.58606
2024-03-29 15:00:00,692.2247
2024-03-29 16:00:00,692.89075
2024-03-29 17:00:00,695.48065
2024-03-29 18:00:00,693.68
2024-03-29 19:00:00,691.12634
2024-03-29 20:00:00,691.0495
2024-03-29 21:00:00,689.0458
2024-03-29 22:00:00,688.3686
2024-03-29 23:00:00,686.88763
2024-03-30 00:00:00,686.08234
2024-03-30 01:00:00,688.07117
2024-03-30 02:00:00,688.82196
2024-03-30 03:00:00,689.73553
2024-03-30 04:00:00,691.9016
2024-03-30 05:00:00,692.2998
2024-03-30 06:00:00,693.3428
2024-03-30 07:00:00,693.7356
2024-03-30 08:00:00,692.5638
2024-03-30 09:00:00,693.4502
2024-03-30 10:00:00,694.57263
2024-03-30 11:00:00,693.85675
2024-03-30 12:00:00,691.2167
2024-03-30 13:00:00,693.915
2024-03-30 14:00:00,694.8528
2024-03-30 15:00:00,691.2015
2024-03-30 16:00:00,693.05994
2024-03-30 17:00:00,696.3752
2024-03-30 18:00:00,695.2805
2024-03-30 19:00:00,693.3503
2024-03-30 20:00:00,696.36945
2024-03-30 21:00:00,698.2144
2024-03-30 22:00:00,695.69385
2024-03-30 23:00:00,697.21765
2024-03-31 00:00:00,696.7896
2024-03-31 01:00:00,696.985
2024-03-31 02:00:00,697.7299
2024-03-31 03:00:00,699.27045
2024-03-31 04:00:00,697.0317
2024-03-31 05:00:00,696.87006
2024-03-31 06:00:00,698.03357
2024-03-31 07:00:00,699.0927
2024-03-31 08:00:00,700.8833
2024-03-31 09:00:00,698.5559
2024-03-31 10:00:00,697.27814
2024-03-31 11:00:00,695.0127
2024-03-31 12:00:00,696.8462
2024-03-31 13:00:00,695.25714
2024-03-31 14:00:00,694.758
2024-03-31 15:00:00,690.44604
2024-03-31 16:00:00,691.468
2024-03-31 17:00:00,692.8433
2024-03-31 18:00:00,691.5908
2024-03-31 19:00:00,689.3339
2024-03-31 20:00:00,689.14734
2024-03-31 21:00:00,687.9012
2024-03-31 22:00:00,684.398
2024-03-31 23:00:00,682.7381
2024-04-01 00:00:00,683.7023
2024-04-01 01:00:00,686.7527
2024-04-01 02:00:00,684.60474
2024-04-01 03:00:00,683.6219
2024-04-01 04:00:00,684.62866
2024-04-01 05:00:00,685.213
2024-04-01 06:00:00,687.20264
2024-04-01 07:00:00,690.138
2024-04-01 08:00:00,689.1493
2024-04-01 09:00:00,689.98413
2024-04-01 10:00:00,688.41626
2024-04-01 11:00:00,688.34766
2024-04-01 12:00:00,686.87885
2024-04-01 13:00:00,688.2197
2024-04-01 14:00:00,689.10046
2024-04-01 15:00:00,688.53564
2024-04-01 16:00:00,690.47064
2024-04-01 17:00:00,691.0451
2024-04-01 18:00:00,689.2397
2024-04-01 19:00:00,687.15924
2024-04-01 20:00:00,687.9669
2024-04-01 21:00:00,688.0805
2024-04-01 22:00:00,685.19403
2024-04-01 23:00:00,682.5455
2024-04-02 00:00:00,683.8245
2024-04-02 01:00:00,680.22955
2024-04-02 02:00:00,681.3689
2024-04-02 03:00:00,682.9724
2024-04-02 04:00:00,683.1652
2024-04-02 05:00:00,687.24426
2024-04-02 06:00:00,686.8772
2024-04-02 07:00:00,688.08795
2024-04-02 08:00:00,685.9192
2024-04-02 09:00:00,686.4216
2024-04-02 10:00:00,684.8067
2024-04-02 11:00:00,683.73114
2024-04-02 12:00:00,684.2637
2024-04-02 13:00:00,680.5585
2024-04-02 14:00:00,680.75635
2024-04-02 15:00:00,682.13806
2024-04-02 16:00:00,682.3749
2024-04-02 17:00:00,679.44867
2024-04-02 18:00:00,679.0553
2024-04-02 19:00:00,675.6421
2024-04-02 20:00:00,677.00977
2024-04-02 21:00:00,677.16833
2024-04-02 22:00:00,679.19696
2024-04-02 23:00:00,677.7848
2024-04-03 00:00:00,678.73254
2024-04-03 01:00:00,679.5667
2024-04-03 02:00:00,681.2155
2024-04-03 03:00:00,682.3929
2024-04-03 04:00:00,681.47064
2024-04-03 05:00:00,680.5648
2024-04-03 06:00:00,682.0992
